sid,attack_phase,technique_name,technique_number,sub_technique_name,sub_technique_number,attack_reason,traffic_direction,cve_number,cve_creation_date,cve_impact_score,cve_exploitability_score,cve_description,impact_score,category,impact_score_reason,tags
2812268,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects DNS queries to a .onion domain, which is often associated with TOR usage. This can indicate potential command and control activity, as malicious actors may use TOR for covert communications.",ext to int,,,,,,3,Command and Control (C2),"The rule detects DNS queries to a known TOR domain, which may indicate potential misuse of TOR for C2. However, it does not confirm a successful compromise, hence a lower impact score.","dns,anomaly,policy,tor,DNS_Onion_Query**"
2812269,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The detection of DNS queries to a .onion domain suggests potential use of TOR for command and control communication, indicating that an asset may be compromised or misused.",int to ext,,,,,,3,Command and Control (C2),"The rule detects DNS queries to a .onion domain, which could indicate potential use of TOR for C2 purposes, but does not confirm a successful compromise.","dns,tor,policy,anomaly,DNS_Onion_Query**"
2812270,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071.001,"The rule detects DNS queries to a known .onion domain, which may indicate the use of TOR for command and control purposes. This is relevant for identifying potential malicious activity where malware could be using TOR to communicate with external servers.",ext to int,,,,,,3,Command and Control (C2),"The rule detects DNS queries to a .onion domain, which may indicate use of TOR for potentially malicious purposes. However, it does not confirm a successful compromise or malicious activity on its own, thus a lower impact score.","dns,tor,policy,anomaly,DNS_Onion_Query**"
2812271,Command and Control,Command_And_Control**,TA0037**,Exfiltration Over C2 Channel,T1041,"The rule detects HTTP POST requests indicative of mobile malware check-ins to a command and control server, which aligns with the Command and Control tactic and the technique for exfiltration over a C2 channel.",ext to int,,,,,,7,Command and Control (C2),"The rule detects a potential successful communication from a mobile malware agent to a command and control server, indicating a compromise.","mobile,trojan,c2,exfiltration,Android**"
2812309,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The detection of DNS queries to .onion domains suggests potential use of Tor for command and control purposes, indicating that the client may be communicating with a hidden service, which is a common technique for establishing C2 channels.",ext to int,,,,,,4,Command and Control (C2),"The rule detects DNS queries to a .onion domain, indicating potential use of TOR which may violate policy, but does not confirm a successful compromise.","dns,anomaly,policy,tor,DNS_Onion_Query**"
2812317,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects DNS queries to a known .onion domain, which is often associated with the use of the Tor network for anonymized communication. This behavior can indicate potential Command and Control activity, especially if the Tor network is being used to obscure malicious traffic.",ext to int,,,,,,3,Command and Control (C2),"The rule detects DNS queries to a known .onion domain, which may indicate the use of TOR. While this behavior could be suspicious, it does not confirm a successful compromise without additional evidence.","dns,tor,policy,anomaly,DNS_Onion_Query**"
2812331,Command and Control,Command_And_Control**,TA0037**,Exfiltration Over Command and Control Channel,T1041,"The rule detects a mobile malware check-in indicating that the malware is communicating with a command and control server, which aligns with the Command and Control tactic.",ext to int,,,,,,8,Command and Control (C2),"The rule detects a successful communication from a mobile malware variant, indicating potential compromise and data exfiltration.","trojan,mobile,c2,exfiltration,Android**"
2812338,Initial Access,Exploit Public-Facing Application,TA0040,Exploitation of Vulnerability,T1203,"The rule detects a known vulnerability (CVE-2015-2442) in Internet Explorer that could be exploited via malicious web content, indicating an initial access attempt through a public-facing application.",ext to int,CVE-2015-2442,8/14/15 10:59,10,8.6,"Microsoft Internet Explorer 8 through 11 and Edge allow remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka ""Memory Corruption Vulnerability,"" a different vulnerability than CVE-2015-2444.",7,Malware,The rule detects a known vulnerability in Internet Explorer that could lead to a successful compromise of a client endpoint.,"web,client,vulnerability,exploit,Web_Client_Attacks**"
2812339,Initial Access,Exploitation for Client Execution,T1203,Exploitation for Client Execution,T1203,"The rule detects a memory corruption vulnerability in Internet Explorer, which can be exploited to execute arbitrary code on the client system, leading to initial access.",ext to int,CVE-2015-2443,8/14/15 10:59,10,8.6,"Microsoft Internet Explorer 10 and 11 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka ""Memory Corruption Vulnerability.""",8,Malware,"The rule detects a known vulnerability (CVE-2015-2443) in Internet Explorer that can lead to successful compromises through memory corruption, indicating a significant security risk.","memory,vulnerability,web,client,Web_Client_Attacks**"
2812341,Initial Access,Exploitation of Public-Facing Application,TA0040,Exploitation for Client Execution,T1203,"The rule detects a memory corruption vulnerability in Internet Explorer, which is typically exploited to gain initial access to a system via malicious web content, aligning with the Initial Access phase.",ext to int,CVE-2015-2446,8/14/15 10:59,10,8.6,"Microsoft Internet Explorer 11 and Edge allow remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka ""Memory Corruption Vulnerability,"" a different vulnerability than CVE-2015-2447.",7,Malware,"The rule detects a known vulnerability that can lead to successful compromise of client endpoints, specifically targeting Internet Explorer.","memory,vulnerability,webclient,exploit,Web_Client_Attacks**"
2812342,Initial Access,Exploitation of Public-Facing Application,TA0040,Exploitation of Vulnerability,T1203,"The rule targets a specific memory corruption vulnerability in Internet Explorer, indicating an attempt to exploit a weakness in a public-facing application to gain initial access.",ext to int,CVE-2015-2448,8/14/15 10:59,10,8.6,"Microsoft Internet Explorer 9 and 10 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka ""Memory Corruption Vulnerability.""",7,Malware,"The rule detects a known memory corruption vulnerability in Internet Explorer, which can lead to a successful compromise of client endpoints.","webclient,exploit,vulnerability,javascript,Web_Client_Attacks**"
2812343,Initial Access,Exploitation of Public-Facing Application,TA0040,Exploitation of Vulnerability,T1203,"The rule detects an exploit targeting a known vulnerability in Internet Explorer (CVE-2015-2450), which aligns with initial access tactics where attackers exploit vulnerabilities in public-facing applications to gain entry into a system.",ext to int,CVE-2015-2450,8/14/15 10:59,10,8.6,"Microsoft Internet Explorer 9 through 11 allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted web site, aka ""Memory Corruption Vulnerability,"" a different vulnerability than CVE-2015-2451.",7,Advanced Persistent Threats (APTs),The rule detects a known memory corruption vulnerability in Internet Explorer that can lead to successful exploitation and compromise of client endpoints.,"memory,vulnerability,web,exploit,Web_Client_Attacks**"
